release-flickr-links_x0_10021.1;release-flickr-links_x0_100;186123;186123;2;1.1;176402.0
release-flickr-links_x0_10041.1;release-flickr-links_x0_100;186123;186123;4;1.1;182805.0
release-flickr-links_x0_10081.1;release-flickr-links_x0_100;186123;186123;8;1.1;184104.0
release-flickr-links_x0_100161.1;release-flickr-links_x0_100;186123;186123;16;1.1;184476.0
release-flickr-links_x0_100321.1;release-flickr-links_x0_100;186123;186123;32;1.1;184920.0
release-flickr-links_x0_100641.1;release-flickr-links_x0_100;186123;186123;64;1.1;185125.0
release-flickr-links_x0_1001281.1;release-flickr-links_x0_100;186123;186123;128;1.1;185478.0
release-flickr-links_x0_10021.03;release-flickr-links_x0_100;186123;186123;2;1.03;174279.0
release-flickr-links_x0_10041.03;release-flickr-links_x0_100;186123;186123;4;1.03;180249.0
release-flickr-links_x0_10081.03;release-flickr-links_x0_100;186123;186123;8;1.03;183951.0
release-flickr-links_x0_100161.03;release-flickr-links_x0_100;186123;186123;16;1.03;184460.0
release-flickr-links_x0_100321.03;release-flickr-links_x0_100;186123;186123;32;1.03;184899.0
release-flickr-links_x0_100641.03;release-flickr-links_x0_100;186123;186123;64;1.03;185129.0
release-flickr-links_x0_1001281.03;release-flickr-links_x0_100;186123;186123;128;1.03;185456.0
release-flickr-links_x0_10021.05;release-flickr-links_x0_100;186123;186123;2;1.05;175342.0
release-flickr-links_x0_10041.05;release-flickr-links_x0_100;186123;186123;4;1.05;181131.0
release-flickr-links_x0_10081.05;release-flickr-links_x0_100;186123;186123;8;1.05;184031.0
release-flickr-links_x0_100161.05;release-flickr-links_x0_100;186123;186123;16;1.05;184485.0
release-flickr-links_x0_100321.05;release-flickr-links_x0_100;186123;186123;32;1.05;184900.0
release-flickr-links_x0_100641.05;release-flickr-links_x0_100;186123;186123;64;1.05;185120.0
release-flickr-links_x0_1001281.05;release-flickr-links_x0_100;186123;186123;128;1.05;185427.0
release-flickr-links_x0_1021.1;release-flickr-links_x0_10;18612;18612;2;1.1;17578.0
release-flickr-links_x0_1041.1;release-flickr-links_x0_10;18612;18612;4;1.1;18204.0
release-flickr-links_x0_1081.1;release-flickr-links_x0_10;18612;18612;8;1.1;18405.0
release-flickr-links_x0_10161.1;release-flickr-links_x0_10;18612;18612;16;1.1;18506.0
release-flickr-links_x0_10321.1;release-flickr-links_x0_10;18612;18612;32;1.1;18577.0
release-flickr-links_x0_10641.1;release-flickr-links_x0_10;18612;18612;64;1.1;18611.0
release-flickr-links_x0_101281.1;release-flickr-links_x0_10;18612;18612;128;1.1;18611.0
release-flickr-links_x0_1021.03;release-flickr-links_x0_10;18612;18612;2;1.03;17440.0
release-flickr-links_x0_1041.03;release-flickr-links_x0_10;18612;18612;4;1.03;18112.0
release-flickr-links_x0_1081.03;release-flickr-links_x0_10;18612;18612;8;1.03;18412.0
release-flickr-links_x0_10161.03;release-flickr-links_x0_10;18612;18612;16;1.03;18515.0
