aa0121.03;aa01;8904;823;72965;2;1.03;568.0
aa0121.05;aa01;8904;823;72965;2;1.05;571.0
aa0121.1;aa01;8904;823;72965;2;1.1;539.0
aa0141.03;aa01;8904;823;72965;4;1.03;607.0
aa0141.05;aa01;8904;823;72965;4;1.05;597.0
aa0141.1;aa01;8904;823;72965;4;1.1;604.0
aa0181.03;aa01;8904;823;72965;8;1.03;675.0
aa0181.05;aa01;8904;823;72965;8;1.05;674.0
aa0181.1;aa01;8904;823;72965;8;1.1;670.0
aa01161.03;aa01;8904;823;72965;16;1.03;690.0
aa01161.05;aa01;8904;823;72965;16;1.05;688.0
aa01161.1;aa01;8904;823;72965;16;1.1;692.0
aa01321.03;aa01;8904;823;72965;32;1.03;711.0
aa01321.05;aa01;8904;823;72965;32;1.05;704.0
aa01321.1;aa01;8904;823;72965;32;1.1;712.0
aa01641.03;aa01;8904;823;72965;64;1.03;728.0
aa01641.05;aa01;8904;823;72965;64;1.05;728.0
aa01641.1;aa01;8904;823;72965;64;1.1;723.0
aa011281.03;aa01;8904;823;72965;128;1.03;750.0
aa011281.05;aa01;8904;823;72965;128;1.05;745.0
aa011281.1;aa01;8904;823;72965;128;1.1;743.0
aa0321.03;aa03;8627;825;70806;2;1.03;549.0
aa0321.05;aa03;8627;825;70806;2;1.05;553.0
aa0321.1;aa03;8627;825;70806;2;1.1;533.0
aa0341.03;aa03;8627;825;70806;4;1.03;555.0
aa0341.05;aa03;8627;825;70806;4;1.05;563.0
aa0341.1;aa03;8627;825;70806;4;1.1;547.0
aa0381.03;aa03;8627;825;70806;8;1.03;620.0
aa0381.05;aa03;8627;825;70806;8;1.05;618.0
aa0381.1;aa03;8627;825;70806;8;1.1;621.0
aa03161.03;aa03;8627;825;70806;16;1.03;646.0
aa03161.05;aa03;8627;825;70806;16;1.05;646.0
aa03161.1;aa03;8627;825;70806;16;1.1;637.0
aa03321.03;aa03;8627;825;70806;32;1.03;665.0
aa03321.05;aa03;8627;825;70806;32;1.05;664.0
aa03321.1;aa03;8627;825;70806;32;1.1;658.0
aa03641.03;aa03;8627;825;70806;64;1.03;676.0
aa03641.05;aa03;8627;825;70806;64;1.05;676.0
aa03641.1;aa03;8627;825;70806;64;1.1;673.0
aa031281.03;aa03;8627;825;70806;128;1.03;697.0
aa031281.05;aa03;8627;825;70806;128;1.05;702.0
aa031281.1;aa03;8627;825;70806;128;1.1;697.0
aa321.03;aa3;8627;825;70806;2;1.03;559.0
aa321.05;aa3;8627;825;70806;2;1.05;555.0
aa321.1;aa3;8627;825;70806;2;1.1;547.0
aa341.03;aa3;8627;825;70806;4;1.03;552.0
aa341.05;aa3;8627;825;70806;4;1.05;554.0
aa341.1;aa3;8627;825;70806;4;1.1;557.0
aa381.03;aa3;8627;825;70806;8;1.03;614.0
aa381.05;aa3;8627;825;70806;8;1.05;615.0
aa381.1;aa3;8627;825;70806;8;1.1;625.0
aa3161.03;aa3;8627;825;70806;16;1.03;640.0
aa3161.05;aa3;8627;825;70806;16;1.05;642.0
aa3161.1;aa3;8627;825;70806;16;1.1;641.0
