sctap1-2b21.03;sctap1-2b;33858;15390;2;1.03;1026.0
sctap1-2b21.05;sctap1-2b;33858;15390;2;1.05;1026.0
sctap1-2b21.1;sctap1-2b;33858;15390;2;1.1;2082.0
sctap1-2b41.03;sctap1-2b;33858;15390;4;1.03;2937.0
sctap1-2b41.05;sctap1-2b;33858;15390;4;1.05;2895.0
sctap1-2b41.1;sctap1-2b;33858;15390;4;1.1;2816.0
sctap1-2b81.03;sctap1-2b;33858;15390;8;1.03;3670.0
sctap1-2b81.05;sctap1-2b;33858;15390;8;1.05;3411.0
sctap1-2b81.1;sctap1-2b;33858;15390;8;1.1;3767.0
sctap1-2b161.03;sctap1-2b;33858;15390;16;1.03;4250.0
sctap1-2b161.05;sctap1-2b;33858;15390;16;1.05;4230.0
sctap1-2b161.1;sctap1-2b;33858;15390;16;1.1;4245.0
sctap1-2b321.03;sctap1-2b;33858;15390;32;1.03;4548.0
sctap1-2b321.05;sctap1-2b;33858;15390;32;1.05;4564.0
sctap1-2b321.1;sctap1-2b;33858;15390;32;1.1;4645.0
sctap1-2b641.03;sctap1-2b;33858;15390;64;1.03;4599.0
sctap1-2b641.05;sctap1-2b;33858;15390;64;1.05;4598.0
sctap1-2b641.1;sctap1-2b;33858;15390;64;1.1;4954.0
sctap1-2b1281.03;sctap1-2b;33858;15390;128;1.03;4696.0
sctap1-2b1281.05;sctap1-2b;33858;15390;128;1.05;4695.0
sctap1-2b1281.1;sctap1-2b;33858;15390;128;1.1;4695.0
sctap1-2c21.03;sctap1-2c;7458;3390;2;1.03;226.0
sctap1-2c21.05;sctap1-2c;7458;3390;2;1.05;226.0
sctap1-2c21.1;sctap1-2c;7458;3390;2;1.1;226.0
sctap1-2c41.03;sctap1-2c;7458;3390;4;1.03;404.0
sctap1-2c41.05;sctap1-2c;7458;3390;4;1.05;392.0
sctap1-2c41.1;sctap1-2c;7458;3390;4;1.1;394.0
sctap1-2c81.03;sctap1-2c;7458;3390;8;1.03;709.0
sctap1-2c81.05;sctap1-2c;7458;3390;8;1.05;741.0
sctap1-2c81.1;sctap1-2c;7458;3390;8;1.1;685.0
sctap1-2c161.03;sctap1-2c;7458;3390;16;1.03;938.0
sctap1-2c161.05;sctap1-2c;7458;3390;16;1.05;926.0
sctap1-2c161.1;sctap1-2c;7458;3390;16;1.1;937.0
sctap1-2c321.03;sctap1-2c;7458;3390;32;1.03;1043.0
sctap1-2c321.05;sctap1-2c;7458;3390;32;1.05;1057.0
sctap1-2c321.1;sctap1-2c;7458;3390;32;1.1;1057.0
sctap1-2c641.03;sctap1-2c;7458;3390;64;1.03;1139.0
sctap1-2c641.05;sctap1-2c;7458;3390;64;1.05;1148.0
